,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
0,one2one,ridge,0,1190,tessels0642,s02,8.0,0.2740343982824943,0.2298479459464246
1,one2one,lasso,1,1190,tessels0642,s02,-3.0,0.27083337310483635,0.2332275084274207
2,one2one,WTA,2,1190,tessels0642,s02,,0.2861142274822588,0.2502258578484085
3,one2one,ridge,0,1190,tessels0642,s03,8.0,0.28841142654859087,0.25621412147392786
4,one2one,lasso,1,1190,tessels0642,s03,-3.0,0.28481463198721424,0.25495650184600166
5,one2one,WTA,2,1190,tessels0642,s03,,0.29836271390627994,0.26774437475657226
6,one2one,ridge,0,1190,tessels0642,s04,8.0,0.28253569257009514,0.2351953223576056
7,one2one,lasso,1,1190,tessels0642,s04,-3.0,0.2758565078030318,0.22988684878050333
8,one2one,WTA,2,1190,tessels0642,s04,,0.2862422047362993,0.24158811418343465
9,one2one,ridge,0,1190,tessels0642,s06,8.0,0.2818677646664003,0.23992070304208166
10,one2one,lasso,1,1190,tessels0642,s06,-3.0,0.27861985926839733,0.244168473701454
11,one2one,WTA,2,1190,tessels0642,s06,,0.2948999330476796,0.2657291143783016
12,one2one,ridge,0,1190,tessels0642,s08,8.0,0.29675755468648024,0.24870846753691692
13,one2one,lasso,1,1190,tessels0642,s08,-3.0,0.28491194422146643,0.2379756733224805
14,one2one,WTA,2,1190,tessels0642,s08,,0.29762121727465357,0.24587329268710942
15,one2one,ridge,0,1190,tessels0642,s09,8.0,0.29696346691292114,0.24398755576423797
16,one2one,lasso,1,1190,tessels0642,s09,-3.0,0.2858240496198828,0.22996366494394183
17,one2one,WTA,2,1190,tessels0642,s09,,0.2939902137015251,0.23023681556619577
18,one2one,ridge,0,1190,tessels0642,s10,8.0,0.29254338443384087,0.2437735286955718
19,one2one,lasso,1,1190,tessels0642,s10,-3.0,0.2835204680980155,0.24079764714174645
20,one2one,WTA,2,1190,tessels0642,s10,,0.29742903065521287,0.24996299423388432
21,one2one,ridge,0,1190,tessels0642,s12,8.0,0.2878175592234641,0.24398996536081255
22,one2one,lasso,1,1190,tessels0642,s12,-3.0,0.28156099719220135,0.24498534260106675
23,one2one,WTA,2,1190,tessels0642,s12,,0.29765656536180624,0.26054853762048946
24,one2one,ridge,0,1190,tessels0642,s14,8.0,0.2932740632896482,0.17438886103153298
25,one2one,lasso,1,1190,tessels0642,s14,-3.0,0.2818403642432394,0.17080974862692377
26,one2one,WTA,2,1190,tessels0642,s14,,0.2919762354298809,0.17208298757545662
27,one2one,ridge,0,1190,tessels0642,s15,8.0,0.2783704416594337,0.25218847768564
28,one2one,lasso,1,1190,tessels0642,s15,-3.0,0.277125501999874,0.25354065934781467
29,one2one,WTA,2,1190,tessels0642,s15,,0.2954840027954273,0.27411606187258336
30,one2one,ridge,0,1190,tessels0642,s17,8.0,0.27721313288351423,0.24105276207371518
31,one2one,lasso,1,1190,tessels0642,s17,-3.0,0.2742770052338014,0.2442211583485644
32,one2one,WTA,2,1190,tessels0642,s17,,0.2953317679524725,0.26878851151920236
33,one2one,ridge,0,1190,tessels0642,s18,8.0,0.2675451575811349,0.22359384410544336
34,one2one,lasso,1,1190,tessels0642,s18,-3.0,0.271015366423822,0.23541583249802747
35,one2one,WTA,2,1190,tessels0642,s18,,0.2886134013314995,0.251422305273768
36,one2one,ridge,0,1190,tessels0642,s19,8.0,0.2928395681579901,0.24511363484578227
37,one2one,lasso,1,1190,tessels0642,s19,-3.0,0.2862277621863617,0.24099657131780258
38,one2one,WTA,2,1190,tessels0642,s19,,0.2963877308861309,0.25075407064245836
39,one2one,ridge,0,1190,tessels0642,s20,10.0,0.290963368631054,0.2618825330996775
40,one2one,lasso,1,1190,tessels0642,s20,-3.0,0.28265381033231096,0.2518195086511721
41,one2one,WTA,2,1190,tessels0642,s20,,0.2927333909015386,0.26225977458270694
42,one2one,ridge,0,1190,tessels0642,s21,10.0,0.2658746164198182,0.2634055203450594
43,one2one,lasso,1,1190,tessels0642,s21,-3.0,0.2681495895412882,0.2618836739276068
44,one2one,WTA,2,1190,tessels0642,s21,,0.2816493122235472,0.28722088466176676
45,one2one,ridge,0,1190,tessels0642,s22,8.0,0.2714471032913832,0.23044015634976608
46,one2one,lasso,1,1190,tessels0642,s22,-3.0,0.26980302960984603,0.2374777733089938
47,one2one,WTA,2,1190,tessels0642,s22,,0.2847071612378096,0.2553532381500061
48,one2one,ridge,0,1190,tessels0642,s24,10.0,0.27941701633744087,0.24919293662882797
49,one2one,lasso,1,1190,tessels0642,s24,-3.0,0.2753918698070436,0.2494556125363921
50,one2one,WTA,2,1190,tessels0642,s24,,0.2888170629493157,0.26032470640683947
51,one2one,ridge,0,1190,tessels0642,s25,8.0,0.28486725211985847,0.26070677748480364
52,one2one,lasso,1,1190,tessels0642,s25,-3.0,0.2817638978137595,0.25886753415785346
53,one2one,WTA,2,1190,tessels0642,s25,,0.2916913921165027,0.2749345035578768
54,one2one,ridge,0,1190,tessels0642,s26,8.0,0.28542172525017595,0.2599272480301879
55,one2one,lasso,1,1190,tessels0642,s26,-3.0,0.282216092022146,0.25750920154533063
56,one2one,WTA,2,1190,tessels0642,s26,,0.2927800337010483,0.26807126731569386
57,one2one,ridge,0,1190,tessels0642,s27,8.0,0.29873194849286183,0.26631909265123505
58,one2one,lasso,1,1190,tessels0642,s27,-3.0,0.28669094139042217,0.2548936925112073
59,one2one,WTA,2,1190,tessels0642,s27,,0.2957778352849342,0.26203221544003874
60,one2one,ridge,0,1190,tessels0642,s28,8.0,0.2734120798767321,0.2165628598496925
61,one2one,lasso,1,1190,tessels0642,s28,-3.0,0.27077837197825816,0.2222798250120238
62,one2one,WTA,2,1190,tessels0642,s28,,0.2847795037887201,0.2345503758998438
63,one2one,ridge,0,1190,tessels0642,s29,8.0,0.28690887681644894,0.2672122748668167
64,one2one,lasso,1,1190,tessels0642,s29,-3.0,0.28282105174150646,0.2642713128284678
65,one2one,WTA,2,1190,tessels0642,s29,,0.29256408790451266,0.2775205349831537
66,one2one,ridge,0,1190,tessels0642,s30,10.0,0.2663671873140894,0.20762614775459118
67,one2one,lasso,1,1190,tessels0642,s30,-3.0,0.27274334512425635,0.22911718196934258
68,one2one,WTA,2,1190,tessels0642,s30,,0.28951038616122254,0.2521060653805247
69,one2one,ridge,0,1190,tessels0642,s31,8.0,0.2664316254721782,0.2218028037039326
70,one2one,lasso,1,1190,tessels0642,s31,-3.0,0.2705858141321008,0.23422529191351754
71,one2one,WTA,2,1190,tessels0642,s31,,0.2888573233095987,0.255332490798432
72,sparse,ridge,0,1190,tessels0642,s02,12.0,0.3575328205964975,0.327212334558448
73,sparse,lasso,1,1190,tessels0642,s02,-3.0,0.2886788919981454,0.24678957377739363
74,sparse,WTA,2,1190,tessels0642,s02,,0.26261487621738294,0.2017831404407284
75,sparse,ridge,0,1190,tessels0642,s03,12.0,0.36420659807556566,0.37334918883437845
76,sparse,lasso,1,1190,tessels0642,s03,-3.0,0.299512507148589,0.30813122253951825
77,sparse,WTA,2,1190,tessels0642,s03,,0.27823069717449933,0.27803955859987173
78,sparse,ridge,0,1190,tessels0642,s04,12.0,0.3644529304275385,0.341947413109103
79,sparse,lasso,1,1190,tessels0642,s04,-3.0,0.29919530341321776,0.26647052223820517
80,sparse,WTA,2,1190,tessels0642,s04,,0.2788516724113522,0.22581945172362364
81,sparse,ridge,0,1190,tessels0642,s06,12.0,0.34835141709976525,0.336256303443924
