,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
0,one2one,ridge,0,670,tessels0362,s02,8.0,0.28423584481993436,0.239559607541242
1,one2one,lasso,1,670,tessels0362,s02,-3.0,0.2781793666698808,0.24442907230031008
2,one2one,WTA,2,670,tessels0362,s02,,0.2956509571780741,0.26393693953097774
3,one2one,ridge,0,670,tessels0362,s03,8.0,0.29149063528549674,0.2677468473242929
4,one2one,lasso,1,670,tessels0362,s03,-3.0,0.2822055777358936,0.26103202453258406
5,one2one,WTA,2,670,tessels0362,s03,,0.2993818711184407,0.2779567091945316
6,one2one,ridge,0,670,tessels0362,s04,8.0,0.29264405412708455,0.2530586306253832
7,one2one,lasso,1,670,tessels0362,s04,-3.0,0.28382763758396573,0.24974008989672278
8,one2one,WTA,2,670,tessels0362,s04,,0.29844752504605193,0.261802712393232
9,one2one,ridge,0,670,tessels0362,s06,8.0,0.2819050152885498,0.2503314119108956
10,one2one,lasso,1,670,tessels0362,s06,-3.0,0.2793811723664774,0.2519154985460586
11,one2one,WTA,2,670,tessels0362,s06,,0.29957321251233243,0.2736825649882623
12,one2one,ridge,0,670,tessels0362,s08,8.0,0.3063331929322595,0.2644939210306193
13,one2one,lasso,1,670,tessels0362,s08,-3.0,0.2921106937145494,0.25031958903666846
14,one2one,WTA,2,670,tessels0362,s08,,0.30562026673614606,0.2603906280604518
15,one2one,ridge,0,670,tessels0362,s09,8.0,0.30805085069805804,0.25630827913673543
16,one2one,lasso,1,670,tessels0362,s09,-3.0,0.29089058305731447,0.2391491770060157
17,one2one,WTA,2,670,tessels0362,s09,,0.30087685702835526,0.24564700473608825
18,one2one,ridge,0,670,tessels0362,s10,8.0,0.2957713415610787,0.24983994995954306
19,one2one,lasso,1,670,tessels0362,s10,-3.0,0.28384791977194274,0.24752354116231634
20,one2one,WTA,2,670,tessels0362,s10,,0.30058228370258394,0.25851271913090096
21,one2one,ridge,0,670,tessels0362,s12,8.0,0.28777267364056947,0.25203723452834176
22,one2one,lasso,1,670,tessels0362,s12,-3.0,0.27834328686673704,0.24912073582889238
23,one2one,WTA,2,670,tessels0362,s12,,0.2989839653001849,0.26769465091944866
24,one2one,ridge,0,670,tessels0362,s14,8.0,0.3016624498493988,0.19198395054736905
25,one2one,lasso,1,670,tessels0362,s14,-3.0,0.28834874221672635,0.19282732554377272
26,one2one,WTA,2,670,tessels0362,s14,,0.30039091988873623,0.19187619876764986
27,one2one,ridge,0,670,tessels0362,s15,8.0,0.29036608265273234,0.2664519018254092
28,one2one,lasso,1,670,tessels0362,s15,-3.0,0.28524114439373,0.2649029227172106
29,one2one,WTA,2,670,tessels0362,s15,,0.30246330556750933,0.2816496615507816
30,one2one,ridge,0,670,tessels0362,s17,8.0,0.2834400382010183,0.24884537188425765
31,one2one,lasso,1,670,tessels0362,s17,-3.0,0.2802820833052708,0.2536881806097953
32,one2one,WTA,2,670,tessels0362,s17,,0.3011834353790541,0.2761898960860199
33,one2one,ridge,0,670,tessels0362,s18,8.0,0.27546722687270603,0.2381031732519662
34,one2one,lasso,1,670,tessels0362,s18,-3.0,0.2768270507181173,0.2472643804775561
