,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
0,one2one,ridge,0,80,tessels0042,s02,6.0,0.31107709443819004,0.27758748650409
1,one2one,lasso,1,80,tessels0042,s02,-4.0,0.3045866949588005,0.2772078565663967
2,one2one,WTA,2,80,tessels0042,s02,,0.32651878232830767,0.30240901068772585
3,one2one,ridge,0,80,tessels0042,s03,6.0,0.3154731869885291,0.30267200342288575
4,one2one,lasso,1,80,tessels0042,s03,-4.0,0.3087590230010688,0.2946568231524767
5,one2one,WTA,2,80,tessels0042,s03,,0.3283831250495535,0.31519036087205293
6,one2one,ridge,0,80,tessels0042,s04,6.0,0.325177352206712,0.297965769187747
7,one2one,lasso,1,80,tessels0042,s04,-4.0,0.3131408811194597,0.28491254027696
8,one2one,WTA,2,80,tessels0042,s04,,0.3309500741976561,0.3014385771412465
9,one2one,ridge,0,80,tessels0042,s06,6.0,0.30843039601562167,0.28507567192882366
10,one2one,lasso,1,80,tessels0042,s06,-4.0,0.30426439792749227,0.2816958286023851
11,one2one,WTA,2,80,tessels0042,s06,,0.3308816740322773,0.31089963025534434
12,one2one,ridge,0,80,tessels0042,s08,6.0,0.3325983197338512,0.289806270984619
13,one2one,lasso,1,80,tessels0042,s08,-4.0,0.3204706249363436,0.27685050597623795
14,one2one,WTA,2,80,tessels0042,s08,,0.33164127912063274,0.28464359696226105
15,one2one,ridge,0,80,tessels0042,s09,6.0,0.326790488387966,0.28307374831882703
16,one2one,lasso,1,80,tessels0042,s09,-4.0,0.3146737573116507,0.2704455490441138
17,one2one,WTA,2,80,tessels0042,s09,,0.32429178700665007,0.2748944955364444
18,one2one,ridge,0,80,tessels0042,s10,6.0,0.32052113923746084,0.2834074207726389
19,one2one,lasso,1,80,tessels0042,s10,-4.0,0.3104868307909011,0.2770479218309512
20,one2one,WTA,2,80,tessels0042,s10,,0.32834418047335173,0.2929711185345279
21,one2one,ridge,0,80,tessels0042,s12,6.0,0.31729439436949564,0.28380640456899003
22,one2one,lasso,1,80,tessels0042,s12,-4.0,0.307636056305954,0.2785404151344048
23,one2one,WTA,2,80,tessels0042,s12,,0.32888130493502254,0.2996000325797626
24,one2one,ridge,0,80,tessels0042,s14,6.0,0.3268536145430085,0.2444552657740115
