,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
0,one2one,ridge,0,1848,tessels1002,s02,10.0,0.27472721183585197,0.22093165794086425
1,one2one,lasso,1,1848,tessels1002,s02,-3.0,0.2709459952483142,0.2253517211778531
2,one2one,WTA,2,1848,tessels1002,s02,,0.28519158861319455,0.24109171546434147
3,one2one,ridge,0,1848,tessels1002,s03,10.0,0.28314681788834173,0.2500173220736503
4,one2one,lasso,1,1848,tessels1002,s03,-3.0,0.2745005940452215,0.24768932281660191
5,one2one,WTA,2,1848,tessels1002,s03,,0.28330973458452613,0.2562215245228619
6,one2one,ridge,0,1848,tessels1002,s04,10.0,0.27643315741183105,0.22728713231975725
7,one2one,lasso,1,1848,tessels1002,s04,-3.0,0.26902191257886887,0.223275238008524
8,one2one,WTA,2,1848,tessels1002,s04,,0.2758684392874865,0.2297717295936002
9,one2one,ridge,0,1848,tessels1002,s06,10.0,0.2748099954654198,0.23365771164389762
10,one2one,lasso,1,1848,tessels1002,s06,-3.0,0.26954885628715947,0.23164223363469663
11,one2one,WTA,2,1848,tessels1002,s06,,0.2872744923678047,0.25341278521225635
12,one2one,ridge,0,1848,tessels1002,s08,10.0,0.28938490727172095,0.241419503540968
13,one2one,lasso,1,1848,tessels1002,s08,-3.0,0.2749786326928439,0.23107517485101517
14,one2one,WTA,2,1848,tessels1002,s08,,0.2839738533309395,0.23551574850439697
15,one2one,ridge,0,1848,tessels1002,s09,10.0,0.2884052266189739,0.23682614523351053
16,one2one,lasso,1,1848,tessels1002,s09,-3.0,0.2721214420673275,0.22232269197105495
17,one2one,WTA,2,1848,tessels1002,s09,,0.2836053603766433,0.22832057374172457
18,one2one,ridge,0,1848,tessels1002,s10,10.0,0.2850522754414378,0.2356261263004105
19,one2one,lasso,1,1848,tessels1002,s10,-3.0,0.2764118398505537,0.2312379927127063
20,one2one,WTA,2,1848,tessels1002,s10,,0.2885644264619905,0.2392408348057604
21,one2one,ridge,0,1848,tessels1002,s12,10.0,0.277069750555955,0.23350755741787918
22,one2one,lasso,1,1848,tessels1002,s12,-3.0,0.2680425036854881,0.23249488236800367
23,one2one,WTA,2,1848,tessels1002,s12,,0.28482546356835564,0.24514425170264226
24,one2one,ridge,0,1848,tessels1002,s14,10.0,0.2910896982147458,0.16426085378076824
25,one2one,lasso,1,1848,tessels1002,s14,-3.0,0.2777405991663208,0.16239731999419968
26,one2one,WTA,2,1848,tessels1002,s14,,0.2835375520088767,0.15880416629178587
27,one2one,ridge,0,1848,tessels1002,s15,10.0,0.27429354225966823,0.2407017650857673
28,one2one,lasso,1,1848,tessels1002,s15,-3.0,0.26881718660546056,0.2402754460927088
29,one2one,WTA,2,1848,tessels1002,s15,,0.2794996696390743,0.254950681949785
30,one2one,ridge,0,1848,tessels1002,s17,10.0,0.27322743541473804,0.23719332357883127
31,one2one,lasso,1,1848,tessels1002,s17,-3.0,0.2673178791507554,0.23631122737616397
32,one2one,WTA,2,1848,tessels1002,s17,,0.28537065035687054,0.25794033985780873
33,one2one,ridge,0,1848,tessels1002,s18,10.0,0.2648152912004492,0.21832422290016998
34,one2one,lasso,1,1848,tessels1002,s18,-3.0,0.2657668706887733,0.2288181265934467
35,one2one,WTA,2,1848,tessels1002,s18,,0.2806907610150218,0.24769576712232286
36,one2one,ridge,0,1848,tessels1002,s19,10.0,0.2857193248222767,0.2362845823670282
37,one2one,lasso,1,1848,tessels1002,s19,-3.0,0.2772288923193452,0.22960634028473575
38,one2one,WTA,2,1848,tessels1002,s19,,0.28801854897620016,0.24101046001100287
39,one2one,ridge,0,1848,tessels1002,s20,10.0,0.29023974975402267,0.258399262835164
40,one2one,lasso,1,1848,tessels1002,s20,-3.0,0.2804070322519224,0.24896386510349447
41,one2one,WTA,2,1848,tessels1002,s20,,0.29083914434108515,0.26088209520052646
42,one2one,ridge,0,1848,tessels1002,s21,10.0,0.2688578736772105,0.2551528023181502
43,one2one,lasso,1,1848,tessels1002,s21,-3.0,0.2640948488347305,0.253210528145563
44,one2one,WTA,2,1848,tessels1002,s21,,0.27522220591533475,0.2744930130264846
45,one2one,ridge,0,1848,tessels1002,s22,10.0,0.27303071241081495,0.22075404925348865
46,one2one,lasso,1,1848,tessels1002,s22,-3.0,0.27044887437109216,0.2256009087629669
47,one2one,WTA,2,1848,tessels1002,s22,,0.2840091678512044,0.2422257419967544
48,one2one,ridge,0,1848,tessels1002,s24,10.0,0.27978992327733143,0.24857673306155825
49,one2one,lasso,1,1848,tessels1002,s24,-3.0,0.2714190173183356,0.24184023066881677
50,one2one,WTA,2,1848,tessels1002,s24,,0.2781937206072936,0.24807405974725796
51,one2one,ridge,0,1848,tessels1002,s25,10.0,0.27229518127049623,0.2536289834735307
52,one2one,lasso,1,1848,tessels1002,s25,-3.0,0.268821413590963,0.25043727347492534
53,one2one,WTA,2,1848,tessels1002,s25,,0.2787223195783208,0.26646517410766846
54,one2one,ridge,0,1848,tessels1002,s26,10.0,0.2795322651966602,0.25183099588633484
