,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
62,one2one,WTA,2,304,tessels0162,s28,,0.31381099187195627,0.2593925365586876
63,one2one,ridge,0,304,tessels0162,s29,8.0,0.2974140682985815,0.2904224681526756
64,one2one,lasso,1,304,tessels0162,s29,-3.0,0.28682658412582607,0.27896687560202765
65,one2one,WTA,2,304,tessels0162,s29,,0.3004397002494277,0.29843295320271335
66,one2one,ridge,0,304,tessels0162,s30,8.0,0.27538647418292356,0.2317356018955308
67,one2one,lasso,1,304,tessels0162,s30,-3.0,0.27989698473753893,0.2526926232144741
68,one2one,WTA,2,304,tessels0162,s30,,0.3086021990943985,0.2788669352242574
69,one2one,ridge,0,304,tessels0162,s31,8.0,0.2823123760859669,0.2476355069385427
70,one2one,lasso,1,304,tessels0162,s31,-3.0,0.28395169632816,0.2583988939663113
71,one2one,WTA,2,304,tessels0162,s31,,0.30766755371049903,0.28378295840146556
72,sparse,ridge,0,304,tessels0162,s02,12.0,0.3525876951600222,0.32268785951232454
73,sparse,lasso,1,304,tessels0162,s02,-3.0,0.29406795006631387,0.25162471641328216
74,sparse,WTA,2,304,tessels0162,s02,,0.27141394039844996,0.21938129276589757
75,sparse,ridge,0,304,tessels0162,s03,12.0,0.3597412086437461,0.35926208516811386
76,sparse,lasso,1,304,tessels0162,s03,-3.0,0.300086161220654,0.30369800352691784
77,sparse,WTA,2,304,tessels0162,s03,,0.2889184961123056,0.28261203503849147
78,sparse,ridge,0,304,tessels0162,s04,12.0,0.3579983324819556,0.34230865244467956
79,sparse,lasso,1,304,tessels0162,s04,-3.0,0.30237517090464594,0.2747095968883582
80,sparse,WTA,2,304,tessels0162,s04,,0.2941069126460548,0.25344713908141975
81,sparse,ridge,0,304,tessels0162,s06,12.0,0.3358171057896017,0.33612005107378223
82,sparse,lasso,1,304,tessels0162,s06,-3.0,0.27593539738130146,0.26459371821511285
83,sparse,WTA,2,304,tessels0162,s06,,0.25407497711775695,0.23119252927170894
84,sparse,ridge,0,304,tessels0162,s08,12.0,0.3641968562217104,0.3070828866294852
85,sparse,lasso,1,304,tessels0162,s08,-3.0,0.3084171812586067,0.23821779070252821
86,sparse,WTA,2,304,tessels0162,s08,,0.3088738280396158,0.22245757247110393
87,sparse,ridge,0,304,tessels0162,s09,12.0,0.36295774191356267,0.2819354064573504
88,sparse,lasso,1,304,tessels0162,s09,-3.0,0.3054603875936829,0.20245720927655808
89,sparse,WTA,2,304,tessels0162,s09,,0.30299473927528797,0.18539755923290258
90,sparse,ridge,0,304,tessels0162,s10,12.0,0.3549441131653637,0.28489416459981776
91,sparse,lasso,1,304,tessels0162,s10,-3.0,0.29759137480157977,0.21271245094621896
92,sparse,WTA,2,304,tessels0162,s10,,0.28727959222406924,0.1901842971855358
93,sparse,ridge,0,304,tessels0162,s12,12.0,0.3540496941912311,0.2895899949004195
94,sparse,lasso,1,304,tessels0162,s12,-3.0,0.2933080828336721,0.2187708634567206
95,sparse,WTA,2,304,tessels0162,s12,,0.28187440259074087,0.19723797752171532
96,sparse,ridge,0,304,tessels0162,s14,12.0,0.36057091238956646,0.2264995262028054
97,sparse,lasso,1,304,tessels0162,s14,-3.0,0.3052185021794894,0.14669260525198255
98,sparse,WTA,2,304,tessels0162,s14,,0.30447087321052435,0.11882419501672561
99,sparse,ridge,0,304,tessels0162,s15,12.0,0.35672211642840307,0.3656432184107635
100,sparse,lasso,1,304,tessels0162,s15,-3.0,0.2981437194878446,0.3040937688152503
101,sparse,WTA,2,304,tessels0162,s15,,0.2815241197612495,0.28100238535358535
102,sparse,ridge,0,304,tessels0162,s17,12.0,0.3371248952674156,0.3209628111920312
103,sparse,lasso,1,304,tessels0162,s17,-3.0,0.2746198831904529,0.24919898662516887
104,sparse,WTA,2,304,tessels0162,s17,,0.2508147859620813,0.21624682979922918
105,sparse,ridge,0,304,tessels0162,s18,12.0,0.3473162935266844,0.3140531784016784
106,sparse,lasso,1,304,tessels0162,s18,-3.0,0.287241865272291,0.24229972177066889
107,sparse,WTA,2,304,tessels0162,s18,,0.2630146112382853,0.2081723741024487
108,sparse,ridge,0,304,tessels0162,s19,12.0,0.359333974584177,0.30610904243161724
109,sparse,lasso,1,304,tessels0162,s19,-3.0,0.2997394734984052,0.23019804248886225
110,sparse,WTA,2,304,tessels0162,s19,,0.2846740719551096,0.21200397465915036
111,sparse,ridge,0,304,tessels0162,s20,12.0,0.36286699041630466,0.3413978097916249
112,sparse,lasso,1,304,tessels0162,s20,-3.0,0.3074257550425371,0.2800080564950761
113,sparse,WTA,2,304,tessels0162,s20,,0.29943131710700654,0.26803911191949803
114,sparse,ridge,0,304,tessels0162,s21,12.0,0.3523572888291411,0.41762614487701594
115,sparse,lasso,1,304,tessels0162,s21,-3.0,0.2919171524306287,0.36579710095864293
116,sparse,WTA,2,304,tessels0162,s21,,0.2724396156511403,0.3497753049060852
117,sparse,ridge,0,304,tessels0162,s22,12.0,0.3463497888866051,0.31746563016187557
118,sparse,lasso,1,304,tessels0162,s22,-3.0,0.286575548550125,0.2445116478577275
119,sparse,WTA,2,304,tessels0162,s22,,0.2643066293894228,0.20790928726394559
120,sparse,ridge,0,304,tessels0162,s24,12.0,0.36246324994493695,0.3456907941187438
121,sparse,lasso,1,304,tessels0162,s24,-3.0,0.3074068461176291,0.2846242386201233
122,sparse,WTA,2,304,tessels0162,s24,,0.29328668429550603,0.2644469727413341
123,sparse,ridge,0,304,tessels0162,s25,12.0,0.35296785488736476,0.35986525049960655
124,sparse,lasso,1,304,tessels0162,s25,-3.0,0.2936011519776284,0.300586987557326
125,sparse,WTA,2,304,tessels0162,s25,,0.277397019980536,0.2817000398357389
126,sparse,ridge,0,304,tessels0162,s26,12.0,0.35740190358535157,0.3380594634422802
127,sparse,lasso,1,304,tessels0162,s26,-3.0,0.29833341841328503,0.2743774076703214
128,sparse,WTA,2,304,tessels0162,s26,,0.28619160561860923,0.25221413823400457
129,sparse,ridge,0,304,tessels0162,s27,12.0,0.3671887040737256,0.33433321501958946
130,sparse,lasso,1,304,tessels0162,s27,-3.0,0.31136769687284704,0.2737981105925392
131,sparse,WTA,2,304,tessels0162,s27,,0.311470607653947,0.2630669008817649
132,sparse,ridge,0,304,tessels0162,s28,12.0,0.3534117478720198,0.23967984178503152
133,sparse,lasso,1,304,tessels0162,s28,-3.0,0.2920922482842514,0.1657367189992246
134,sparse,WTA,2,304,tessels0162,s28,,0.2706437007208368,0.13483041073218788
135,sparse,ridge,0,304,tessels0162,s29,12.0,0.3628429802340779,0.3758877099854624
136,sparse,lasso,1,304,tessels0162,s29,-3.0,0.30487238359218166,0.3191963808162872
137,sparse,WTA,2,304,tessels0162,s29,,0.2941445728586246,0.30890244180750565
138,sparse,ridge,0,304,tessels0162,s30,12.0,0.3436952383005371,0.3045232616317451
139,sparse,lasso,1,304,tessels0162,s30,-3.0,0.2745347245629108,0.2227552238521269
140,sparse,WTA,2,304,tessels0162,s30,,0.23669344848888413,0.173935629384399
141,sparse,ridge,0,304,tessels0162,s31,12.0,0.3475014662396438,0.30955461346802216
142,sparse,lasso,1,304,tessels0162,s31,-3.0,0.28449859235418823,0.23630986603520399
143,sparse,WTA,2,304,tessels0162,s31,,0.25534810995854723,0.20188054658801724
144,normal,ridge,0,304,tessels0162,s02,8.0,0.2747151135361003,0.2384020265885995
145,normal,lasso,1,304,tessels0162,s02,-4.0,0.2530261273383399,0.20190930169794255
146,normal,WTA,2,304,tessels0162,s02,,0.17423553956069424,0.121280129187641
147,normal,ridge,0,304,tessels0162,s03,8.0,0.28568499160169963,0.2552443068477597
148,normal,lasso,1,304,tessels0162,s03,-4.0,0.2676318778243033,0.2226393062178954
149,normal,WTA,2,304,tessels0162,s03,,0.16938499442820826,0.1317970848440194
150,normal,ridge,0,304,tessels0162,s04,8.0,0.2769393019173918,0.24263171720304744
151,normal,lasso,1,304,tessels0162,s04,-4.0,0.2555294735409388,0.2034855836221043
152,normal,WTA,2,304,tessels0162,s04,,0.16965714895673753,0.11708872833904453
153,normal,ridge,0,304,tessels0162,s06,8.0,0.27856728652727486,0.2551737251808284
154,normal,lasso,1,304,tessels0162,s06,-4.0,0.2569642372099338,0.22139293488599374
155,normal,WTA,2,304,tessels0162,s06,,0.17859653132936806,0.1366869005671325
156,normal,ridge,0,304,tessels0162,s08,6.0,0.2881556914248644,0.2608641189358465
157,normal,lasso,1,304,tessels0162,s08,-4.0,0.26561589011672004,0.22522214588352993
158,normal,WTA,2,304,tessels0162,s08,,0.17594959077215216,0.1335824159188434
159,normal,ridge,0,304,tessels0162,s09,6.0,0.2907355087702023,0.2580476720056222
160,normal,lasso,1,304,tessels0162,s09,-4.0,0.2728095345073327,0.22671498976685436
161,normal,WTA,2,304,tessels0162,s09,,0.17371843702583162,0.13934593431270412
162,normal,ridge,0,304,tessels0162,s10,8.0,0.2901014672838147,0.2530480009481223
163,normal,lasso,1,304,tessels0162,s10,-4.0,0.2688285804007881,0.2178155838473935
164,normal,WTA,2,304,tessels0162,s10,,0.179971015180737,0.1404880320903227
165,normal,ridge,0,304,tessels0162,s12,8.0,0.2858962546636939,0.2560809240195692
166,normal,lasso,1,304,tessels0162,s12,-4.0,0.25968247188281185,0.2168735195019596
167,normal,WTA,2,304,tessels0162,s12,,0.17726213212640135,0.141305235810844
168,normal,ridge,0,304,tessels0162,s14,8.0,0.2827805658716016,0.20813156631203963
169,normal,lasso,1,304,tessels0162,s14,-4.0,0.26594413639415637,0.16354459759826323
170,normal,WTA,2,304,tessels0162,s14,,0.1792722490695256,0.09099453960966389
171,normal,ridge,0,304,tessels0162,s15,8.0,0.2771053204235028,0.2575490847365081
172,normal,lasso,1,304,tessels0162,s15,-4.0,0.2558192503519378,0.22350154061758137
173,normal,WTA,2,304,tessels0162,s15,,0.16542959866400586,0.12230445156271341
174,normal,ridge,0,304,tessels0162,s17,8.0,0.28217209748705874,0.2514541698961583
175,normal,lasso,1,304,tessels0162,s17,-4.0,0.2596494082371392,0.217361459323865
176,normal,WTA,2,304,tessels0162,s17,,0.1805725334562726,0.14082582607999677
177,normal,ridge,0,304,tessels0162,s18,8.0,0.27079253477767934,0.23822021334336926
178,normal,lasso,1,304,tessels0162,s18,-4.0,0.247995663068731,0.2021094420513433
179,normal,WTA,2,304,tessels0162,s18,,0.15917255179488887,0.11965515403935657
180,normal,ridge,0,304,tessels0162,s19,8.0,0.2871891354033325,0.2512127054745511
181,normal,lasso,1,304,tessels0162,s19,-4.0,0.2664145790258438,0.2176830588017941
182,normal,WTA,2,304,tessels0162,s19,,0.17250099382008413,0.13714603618177498
183,normal,ridge,0,304,tessels0162,s20,8.0,0.28308317128605415,0.2623568944344022
184,normal,lasso,1,304,tessels0162,s20,-4.0,0.2621987613943612,0.23189054265910986
185,normal,WTA,2,304,tessels0162,s20,,0.17063593797582416,0.13679725111833416
186,normal,ridge,0,304,tessels0162,s21,8.0,0.2718200664230842,0.26130543346093527
187,normal,lasso,1,304,tessels0162,s21,-4.0,0.2545071603882572,0.22919957773181615
188,normal,WTA,2,304,tessels0162,s21,,0.15387603861148524,0.10628551901761994
189,normal,ridge,0,304,tessels0162,s22,8.0,0.2803654746112064,0.2460702227479775
190,normal,lasso,1,304,tessels0162,s22,-4.0,0.2590605707281528,0.2094548864675812
191,normal,WTA,2,304,tessels0162,s22,,0.16966315456506273,0.12476794232897848
192,normal,ridge,0,304,tessels0162,s24,8.0,0.2866666553647783,0.2552415653877558
193,normal,lasso,1,304,tessels0162,s24,-4.0,0.26740684433146833,0.21980714170829513
194,normal,WTA,2,304,tessels0162,s24,,0.17122564724751485,0.134817166692395
195,normal,ridge,0,304,tessels0162,s25,8.0,0.2848371240927563,0.261741500945424
196,normal,lasso,1,304,tessels0162,s25,-4.0,0.26537371978910274,0.2275121344801479
197,normal,WTA,2,304,tessels0162,s25,,0.1667419484447149,0.13474268560747557
198,normal,ridge,0,304,tessels0162,s26,8.0,0.2802714024035554,0.26008450408862355
199,normal,lasso,1,304,tessels0162,s26,-4.0,0.26032421925660576,0.22585573680254117
200,normal,WTA,2,304,tessels0162,s26,,0.16062534445707605,0.1293743429709667
201,normal,ridge,0,304,tessels0162,s27,6.0,0.29681942253245525,0.26237860828999254
202,normal,lasso,1,304,tessels0162,s27,-4.0,0.27934622473851234,0.23315820731748052
203,normal,WTA,2,304,tessels0162,s27,,0.18270945295510943,0.1432632164865986
204,normal,ridge,0,304,tessels0162,s28,8.0,0.2781406304345025,0.22959883003799228
205,normal,lasso,1,304,tessels0162,s28,-4.0,0.2570151943519502,0.19642842149450276
206,normal,WTA,2,304,tessels0162,s28,,0.16274424884196353,0.11679863243081667
207,normal,ridge,0,304,tessels0162,s29,8.0,0.28071967132833864,0.26113636982836
208,normal,lasso,1,304,tessels0162,s29,-4.0,0.2616864006147313,0.2300086111039251
209,normal,WTA,2,304,tessels0162,s29,,0.16740449093917212,0.1332839075405535
210,normal,ridge,0,304,tessels0162,s30,8.0,0.26748739717144693,0.22221387582852611
211,normal,lasso,1,304,tessels0162,s30,-4.0,0.24813697866855006,0.18338809673984882
212,normal,WTA,2,304,tessels0162,s30,,0.16069327953049173,0.11047267529119459
213,normal,ridge,0,304,tessels0162,s31,8.0,0.2661796842710733,0.24186143813511565
214,normal,lasso,1,304,tessels0162,s31,-4.0,0.24479082723498513,0.2047682486201077
215,normal,WTA,2,304,tessels0162,s31,,0.1490066399594482,0.1191463474126195
